kode,name,satuan,version,status,sub_discipline_id,section,resource_type,resource_id,resource_name,resource_satuan,koefisien,resource_harga
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,,B,,,Semen portland,Kg,2,
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,,B,,,Kawat duri,M’,25,
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,,B,,,Pasir beton,m3,0.005,
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,,B,,,Koral beton,m3,0.009,
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,,B,,,Paku biasa 2” – 5”,Kg,0.06,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,A,,,Pekerja,OH,0.1,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,A,,,Tukang kayu,OH,0.1,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,A,,,Kepala tukang,OH,0.01,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,A,,,Mandor,OH,0.005,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,B,,,Kayu balok 5/7,m3,0.012,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,B,,,Paku 2”-3”,Kg,0.02,
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,,B,,,Kayu papan 3/20,m3,0.007,
A.1.1.5,(K3) Pembuatan 1 m2  kantor sementara lantai plesteran,m2,28/2016,active,,,,,,,,
A.1.1.6,(K3) Pembuatan 1 m2  rumah jaga,m2,28/2016,active,,,,,,,,
A.1.1.7,(K3) Pembuatan 1 m2  gudang semen dan peralatan,m2,28/2016,active,,,,,,,,
A.1.1.8,(K3) Pembuatan 1 m2  bedeng pekerja,m2,28/2016,active,,,,,,,,
A.1.1.9,(K3) Pembersihan dan perataan lapangan 1 m2,m2,28/2016,active,,,,,,,,
A.1.1.10,(K3) Pembuatan 1 m2  perancah dari bambu,m2,28/2016,active,,,,,,,,
A.1.1.11,Pembuatan 1 buah kotak adukan ukuran 40 cm x 50 cm x 25 cm,m2,28/2016,active,,,,,,,,
A.1.1.12,Pembuatan 1 m2  jalan sementara,m2,28/2016,active,,,,,,,,
A.1.1.13,Pemasangan 1 m2  kawat jaring galvanis,m2,28/2016,active,,,,,,,,
A.1.1.14,Pemasangan 1 m2  pagar beton pracetak 50x50x240 untuk pagar,m2,28/2016,active,,,,,,,,
A.1.1.15,Pembuatan  Papan Nama Proyek 80x120 cm (bahan seng),m2,28/2016,active,,,,,,,,
A.1.1.16,Pembuatan  Papan Nama Proyek 80x120 cm (bahan flexi),m2,28/2016,active,,,,,,,,
A.1.2.1,Pembongkaran 1 m3   beton bertulang,m2,28/2016,active,,,,,,,,
A.1.2.2,Pembongkaran 1 m2  dinding tembok,m2,28/2016,active,,,,,,,,
A.1.2.3,Pembongkaran pasangan batu kali 1 m3,m2,28/2016,active,,,,,,,,
A.1.2.4,Pembongkaran lantai tegel untuk dipergunakan lagi 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.5,Mengupas plesteran lama 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.6,Pembongkaran genteng / sirap untuk dipergunakan lagi 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.7,Pembongkaran atap seng 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.8,Pembongkaran usuk / reng dipakai lagi 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.9,Pembongkaran usuk / reng tidak dipakai lagi 1 m2,m2,28/2016,active,,,,,,,,
A.1.2.10,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan untuk digunakan lagi 1 m3",m2,28/2016,active,,,,,,,,
A.1.2.11,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan tidak digunakan lagi 1 m3",m2,28/2016,active,,,,,,,,
A.1.2.12,"Pembongkaran Plafon dgn rangka, tidak digunakan lagi 1 m2",m2,28/2016,active,,,,,,,,
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,,,,,,,,
A.1.3.1,Penggalian  tanah biasa sedalam 1 m,m2,28/2016,active,,,,,,,,
A.1.3.2,Penggalian  tanah biasa sedalam 2 m,m2,28/2016,active,,,,,,,,
A.1.3.3,Penggalian  tanah biasa sedalam 3 m,m2,28/2016,active,,,,,,,,
A.1.3.4,Penggalian  tanah keras sedalam 1 m,m2,28/2016,active,,,,,,,,
A.1.3.5,Penggalian  tanah cadas sedalam 1 m,m2,28/2016,active,,,,,,,,
A.1.3.6,Penggalian  tanah lumpur sedalam 1 m,m2,28/2016,active,,,,,,,,
A.1.3.7,Pengerjaan stripping setinggi 1 m,m2,28/2016,active,,,,,,,,
A.1.3.8,(K3) Pembuangan tanah,m2,28/2016,active,,,,,,,,
A.1.3.9,Pengurugan kembali 1 m3  galian tanah,m2,28/2016,active,,,,,,,,
A.1.3.10,(K3) Pemadatan tanah per 20 cm,m2,28/2016,active,,,,,,,,
A.1.3.11,Pengurugan dengan pasir urug,m2,28/2016,active,,,,,,,,
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,,,,,,,,
A.1.3.13,Pemasangan lapisan ijuk,m2,28/2016,active,,,,,,,,
A.1.3.14,Pengurugan dengan sirtu padat,m2,28/2016,active,,,,,,,,
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,,,,,,,,
A.1.3.16,Pengurukan  tanah m3,m2,28/2016,active,,,,,,,,
A.1.3.17,Pembuatan  sumur Gali m1,m2,28/2016,active,,,,,,,,
A.1.3.18,Gebalan rumput m2,m2,28/2016,active,,,,,,,,
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,,,,,,,,
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,,,,,,,,
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,,,,,,,,
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,,,,,,,,
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,,,,,,,,
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,,,,,,,,
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,,,,,,,,
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,,,,,,,,
A.1.4.11,Pemasangan pondasi sumuran Ø 100cm,m2,28/2016,active,,,,,,,,
A.1.5.1,Pemasangan dinding bata merah 1 batu campuran 1PC:2PP,m2,28/2016,active,,,,,,,,
A.1.5.2,Pemasangan dinding bata merah 1 batu campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.3,Pemasangan dinding bata merah 1 batu campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.4,Pemasangan dinding bata merah 1 batu campuran 1PC:5PP,m2,28/2016,active,,,,,,,,
A.1.5.5,Pemasangan dinding bata merah 1 batu campuran 1PC:6PP,m2,28/2016,active,,,,,,,,
A.1.5.6,Pemasangan dinding bata merah 1 batu 1PC:3KP: 10PP,m2,28/2016,active,,,,,,,,
A.1.5.7,Pemasangan dinding bata merah 1/2 batu campuran 1PC:2PP,m2,28/2016,active,,,,,,,,
A.1.5.8,Pemasangan dinding bata merah 1/2 batu campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.9,Pemasangan dinding bata merah 1/2 batu campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.10,Pemasangan dinding bata merah 1/2 batu campuran 1PC:5PP,m2,28/2016,active,,,,,,,,
A.1.5.11,Pemasangan dinding bata merah 1/2 batu campuran 1PC:6PP,m2,28/2016,active,,,,,,,,
A.1.5.12,Pemasangan dinding bata merah 1/2 batu 1PC:8PP,m2,28/2016,active,,,,,,,,
A.1.5.13,Pemasangan dinding bata merah 1/2 batu 1PC:3KP: 10PP,m2,28/2016,active,,,,,,,,
A.1.5.14,Pemasangan dinding bata merah 1/2 batu 1KP:1SM:1PP,m2,28/2016,active,,,,,,,,
A.1.5.15,Pemasangan dinding bata merah 1/2 batu 1KP:1SM:2PP,m2,28/2016,active,,,,,,,,
A.1.5.16,Pemasangan dinding HB20 campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.17,Pemasangan dinding HB20 campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.18,Pemasangan dinding HB15 campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.19,Pemasangan dinding HB15 campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.20,Pemasangan dinding HB10 campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.21,Pemasangan dinding HB10 campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.22,Pemasangan dinding terawang (roster) campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.23,Pemasangan dinding terawang (roster) campuran 1PC:4PP,m2,28/2016,active,,,,,,,,
A.1.5.24,Pemasangan dinding bata berongga campuran 1PC:3PP,m2,28/2016,active,,,,,,,,
A.1.5.25,"Pemasangan dinding bata ringan tebal 7,5 cm",m2,28/2016,active,,,,,,,,
A.1.5.26,Pemasangan dinding bata ringan tebal 10 cm,m2,28/2016,active,,,,,,,,
A.1.5.27,Pasangan dinding batako,m2,28/2016,active,,,,,,,,
A.1.5.28,"Pemasangan dinding terawang (roster) ukuran (12 x 11 x 24) cm, campuran spesi 1 PC : 3 PP",m2,28/2016,active,,,,,,,,
A.1.5.29,"Pemasangan rollag bata , campuran spesi 1 PC : 3 PP",m2,28/2016,active,,,,,,,,
A.1.6.1,"Pembuatan 1 m3  beton mutu fc  7,4 MPa",m2,28/2016,active,,,,,,,,
A.1.6.2,"Pembuatan 1 m3  beton mutu fc  9,8 MPa",m2,28/2016,active,,,,,,,,
A.1.6.3,"Pembuatan 1 m3  beton mutu fc  12,2 MPa",m2,28/2016,active,,,,,,,,
A.1.6.4,Pembuatan 1 m3  lantai kerja beton mutu fc  7.4 MPa,m2,28/2016,active,,,,,,,,
A.1.6.5,"Pembuatan 1 m3  beton mutu fc  14,5 MPa",m2,28/2016,active,,,,,,,,
A.1.6.6,"Pembuatan 1 m3  beton mutu fc  16,9 MPa",m2,28/2016,active,,,,,,,,
A.1.6.7,"Pembuatan 1 m3  beton mutu fc  19,3 MPa",m2,28/2016,active,,,,,,,,
A.1.6.8,"Pembuatan 1 m3  beton mutu fc  21,7 MPa",m2,28/2016,active,,,,,,,,
A.1.6.9,Pembuatan 1 m3  beton mutu fc  24 MPa,m2,28/2016,active,,,,,,,,
A.1.6.10,"Pembuatan 1 m3  beton mutu fc  26,4 MPa",m2,28/2016,active,,,,,,,,
A.1.6.11,"Pembuatan 1 m3  beton mutu fc  28,8 MPa",m2,28/2016,active,,,,,,,,
A.1.6.12,"Pembuatan 1 m3  beton mutu fc  31,2 MPa",m2,28/2016,active,,,,,,,,
A.1.6.13,Pembuatan 1 m3  beton kedap air dengan strorox 100,m2,28/2016,active,,,,,,,,
A.1.6.14,Pemasangan 1 m2   PVC Waterstop lebar 150mm,m2,28/2016,active,,,,,,,,
A.1.6.15,Pemasangan 1 m2   PVC Waterstop lebar 200mm,m2,28/2016,active,,,,,,,,
A.1.6.16,Pemasangan 1 m2   PVC Waterstop lebar 230- 320mm,m2,28/2016,active,,,,,,,,
A.1.6.17,Pembesian 10 kg dengan besi polos atau ulir,m2,28/2016,active,,,,,,,,
A.1.6.18,Pemasangan 10 kg kabel prategang (prestressed) polos/strands,m2,28/2016,active,,,,,,,,
A.1.6.19,Pemasangan 10 kg jaring kawat baja (wire mesh),m2,28/2016,active,,,,,,,,
A.1.6.20,(K3) Pemasangan 1 m2  bekisting untuk pondasi,m2,28/2016,active,,,,,,,,
A.1.6.21,(K3) Pemasangan 1 m2  bekisting untuk sloof,m2,28/2016,active,,,,,,,,
A.1.6.22,(K3) Pemasangan 1 m2  bekisting untuk kolom,m2,28/2016,active,,,,,,,,
A.1.6.23,(K3) Pemasangan 1 m2  bekisting untuk balok,m2,28/2016,active,,,,,,,,
A.1.6.24,(K3) Pemasangan 1 m2  bekisting untuk lantai,m2,28/2016,active,,,,,,,,
A.1.6.25,(K3) Pemasangan 1 m2  bekisting untuk dinding,m2,28/2016,active,,,,,,,,
A.1.6.26,(K3) Pemasangan 1 m2  bekisting untuk  tangga,m2,28/2016,active,,,,,,,,
A.1.6.27,(K3) Pemasangan 1 m2  tangga pengecoran beton,m2,28/2016,active,,,,,,,,
A.1.6.28,Pembuatan 1 m2  kolom praktis beton bertulang (11x11),m2,28/2016,active,,,,,,,,
A.1.6.29,Pembuatan 1 m2  ring balok beton bertulang (10x15),m2,28/2016,active,,,,,,,,
A.1.6.30,Pekerjaan Plat Bondex,m2,28/2016,active,,,,,,,,
A.1.6.31,"Stutwerk untuk 1m³ beton, tinggi 3-4 m (memakai scafolding) sistem bondex",m2,28/2016,active,,,,,,,,
A.1.6.32,"Pekerjaan Beton K225, Plat Lantai tbl. 12 cm, besi ø6 1x lapis (Sistem Bondex)",m2,28/2016,active,,,,,,,,
A.1.6.33,"Pembuatan tiang pancang  (40 x 40) cm, beton bertulang",m2,28/2016,active,,,,,,,,
A.1.6.34,"Pembuatan tiang pancang  (35 x 35) cm, beton bertulang",m2,28/2016,active,,,,,,,,
A.1.6.35,Cor beton kerb  ( 15 x 30 ) cm,m2,28/2016,active,,,,,,,,
A.1.6.36,Cor beton Devider ( 30 x 30 ) cm,m2,28/2016,active,,,,,,,,
A.1.7.1,"(K3) Pembuatan 1m2  lahan produksi tebal 8 cm beton f’c 14,5 MPa, slump (120 ± 20) mm",m2,28/2016,active,,,,,,,,
A.1.7.2,"(K3) Pembuatan 1m2  lahan produksi tebal 10 cm beton f’c 14,5 MPa, slump (120 ± 20) mm",m2,28/2016,active,,,,,,,,
A.1.7.3,"(K3) Pembuatan 1m2  lahan produksi tebal 12 cm beton f’c 14,5 MPa, slump (120 ± 20) mm",m2,28/2016,active,,,,,,,,
A.1.7.4,"(K3) Pembuatan 1m2  lahan produksi tebal 15 cm beton f’c 14,5 MPa, slump (120 ± 20) mm",m2,28/2016,active,,,,,,,,
A.1.7.5,Pembuatan 1m2  bekisting untuk pelat beton pracetak (5 kali pakai),m2,28/2016,active,,,,,,,,
A.1.7.6,Pembuatan 1m2  bekisting untuk balok beton pracetak (10-12 kali pakai),m2,28/2016,active,,,,,,,,
A.1.7.7,Pembuatan 1m2  bekisting untuk kolom beton pracetak (10-12 kali pakai),m2,28/2016,active,,,,,,,,
A.1.7.8,Pemasangan dan membuka bekisting 1 buah komponen untuk pelat beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.9,Pemasangan dan membuka bekisting 1 buah komponen untuk balok beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.10,Pemasangan dan membuka bekisting 1 buah komponen untuk kolom beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.11,Penuangan/menebar beton 1 m3  untuk pelat beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.12,Penuangan/menebar beton 1 m3  untuk balok beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.13,Penuangan/menebar beton 1 m3  untuk kolom beton pracetak,m2,28/2016,active,,,,,,,,
A.1.7.14,Ereksi 1 buah komponen pelat beton pracetak beserta indeks kenaikan lantai ereksi pelat hingga 24 lantai,m2,28/2016,active,,,,,,,,
A.1.7.15,Ereksi 1 buah komponen balok beton pracetak beserta indeks kenaikan lantai ereksi balok hingga 24 lantai,m2,28/2016,active,,,,,,,,
A.1.7.16,Ereksi 1 buah komponen kolom beton pracetak beserta indeks kenaikan lantai ereksi kolom hingga 24 lantai,m2,28/2016,active,,,,,,,,
A.1.7.17,Langsir 1 buah komponen untuk pelat beton pracetak (± 20 m),m2,28/2016,active,,,,,,,,
A.1.7.18,Langsir 1 buah komponen untuk balok beton pracetak (± 20 m),m2,28/2016,active,,,,,,,,
A.1.7.19,Langsir 1 buah komponen untuk kolom beton pracetak (± 20m),m2,28/2016,active,,,,,,,,
A.1.7.20,Bahan 1 m3 grout campuran,m2,28/2016,active,,,,,,,,
A.1.7.21,Bahan 1 m3 grout (tidak campuran),m2,28/2016,active,,,,,,,,
A.1.7.22,Upah 1 titik pekerjaan grout pada joint pracetak,m2,28/2016,active,,,,,,,,
A.1.7.23,Pemasangan 1 titik bekisting joint pracetak,m2,28/2016,active,,,,,,,,
A.1.7.24,Upah 1 titik joint dengan sling,m2,28/2016,active,,,,,,,,
A.1.8.1,Pemasangan plesteran 1PC:1PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.2,Pemasangan plesteran 1PC:2PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.3,Pemasangan plesteran 1PC:3PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.4,Pemasangan plesteran 1PC:4PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.5,Pemasangan plesteran 1PC:5PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.6,Pemasangan plesteran 1PC:6PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.7,Pemasangan plesteran 1PC:7PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.8,Pemasangan plesteran 1PC:8PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.9,Pemasangan plesteran 1PC:1/2KP:3PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.10,Pemasangan plesteran 1PC:2KP:8PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.11,Pemasangan plesteran 1SM:1KP:1PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.12,Pemasangan plesteran 1SM:1KP:2PP tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.13,Pemasangan plesteran 1PC:2PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.14,Pemasangan plesteran 1PC:3PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.15,Pemasangan plesteran 1PC:4PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.16,Pemasangan plesteran 1PC:5PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.17,Pemasangan plesteran 1PC:6PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.18,Pemasangan plesteran 1SM:1KP:2PP tebal 20 mm,m2,28/2016,active,,,,,,,,
A.1.8.19,Pemasangan berapen 1PC:5PP  tebal 15 mm,m2,28/2016,active,,,,,,,,
A.1.8.20,Pemasangan plesteran skoning 1PC:2PP lebar 10 cm,m2,28/2016,active,,,,,,,,
A.1.8.21,Pemasangan plesteran granit 1PC:2 granit tebal 10 mm,m2,28/2016,active,,,,,,,,
A.1.8.22,Pemasangan plesteran teraso 1PC:2 teraso tebal 10 mm,m2,28/2016,active,,,,,,,,
A.1.8.23,Pemasangan plesteran ciprat 1PC:2PP,m2,28/2016,active,,,,,,,,
A.1.8.24,Pemasangan finishing siar pasangan bata,m2,28/2016,active,,,,,,,,
A.1.8.25,Pemasangan finishing siar pas. conblock,m2,28/2016,active,,,,,,,,
A.1.8.26,Pemasangan finishing siar pas. batu belah,m2,28/2016,active,,,,,,,,
A.1.8.27,Pemasangan acian,m2,28/2016,active,,,,,,,,
A.1.8.28,Pemasangan 1 m2  plesteran dengan mortar siap pakai (MSP),m2,28/2016,active,,,,,,,,
A.1.8.29,Pemasangan 1 m2  plesteran acian mortar siap pakai (MSP),m2,28/2016,active,,,,,,,,
A.1.8.30,"Plesteran 1 Pc : 3 Kp : 10 Ps, tebal 15 mm",m2,28/2016,active,,,,,,,,
A.1.9.1,Pemasangan 1 m2  lantai ubin PC abu-abu 40x40,m2,28/2016,active,,,,,,,,
A.1.9.2,Pemasangan 1 m2  lantai ubin PC abu-abu 30x30,m2,28/2016,active,,,,,,,,
A.1.9.3,Pemasangan 1 m2  lantai ubin PC abu-abu 20x20,m2,28/2016,active,,,,,,,,
A.1.9.4,Pemasangan 1 m2  lantai ubin warna 40x40,m2,28/2016,active,,,,,,,,
A.1.9.5,Pemasangan 1 m2  lantai ubin warna 30x30,m2,28/2016,active,,,,,,,,
A.1.9.6,Pemasangan 1 m2  lantai ubin warna 20x20,m2,28/2016,active,,,,,,,,
A.1.9.7,Pemasangan 1 m2  lantai ubin teraso 40x40,m2,28/2016,active,,,,,,,,
A.1.9.8,Pemasangan 1 m2  lantai ubin teraso 30x30,m2,28/2016,active,,,,,,,,
A.1.9.9,Pemasangan 1 m2  lantai ubin granit 40x40,m2,28/2016,active,,,,,,,,
A.1.9.10,Pemasangan 1 m2  lantai ubin granit 30x30,m2,28/2016,active,,,,,,,,
A.1.9.11,Pemasangan 1 m2  lantai ubin teralux 40x40,m2,28/2016,active,,,,,,,,
A.1.9.12,Pemasangan 1 m2  lantai ubin teralux 30x30,m2,28/2016,active,,,,,,,,
A.1.9.13,Pemasangan 1 m2  lantai ubin teralux marmer 60x60,m2,28/2016,active,,,,,,,,
A.1.9.14,Pemasangan 1 m2  lantai ubin teralux marmer 40x40,m2,28/2016,active,,,,,,,,
A.1.9.15,Pemasangan 1 m2  lantai ubin teralux marmer 30x30,m2,28/2016,active,,,,,,,,
A.1.9.16,Pemasangan 1 m2  Plint ubin PC abu-abu 15x20,m2,28/2016,active,,,,,,,,
A.1.9.17,Pemasangan 1 m2  Plint ubin PC abu-abu 10x30,m2,28/2016,active,,,,,,,,
A.1.9.18,Pemasangan 1 m2  plint ubin PC abu-abu 10x40,m2,28/2016,active,,,,,,,,
A.1.9.19,Pemasangan 1 m2  plint ubin warna 10x20,m2,28/2016,active,,,,,,,,
A.1.9.20,Pemasangan 1 m2  plint ubin warna 10x30,m2,28/2016,active,,,,,,,,
A.1.9.21,Pemasangan 1 m2  plint ubin warna 10x40,m2,28/2016,active,,,,,,,,
A.1.9.22,Pemasangan 1 m2  plint ubin teraso 10x30,m2,28/2016,active,,,,,,,,
A.1.9.23,Pemasangan 1 m2  plint ubin teraso 10x40,m2,28/2016,active,,,,,,,,
A.1.9.24,Pemasangan 1 m2  plint ubin granit 10x40,m2,28/2016,active,,,,,,,,
A.1.9.25,Pemasangan 1 m2  plint ubin granit 10x30,m2,28/2016,active,,,,,,,,
A.1.9.26,Pemasangan 1 m2  plint ubin teralux kerang 10x40,m2,28/2016,active,,,,,,,,
A.1.9.27,Pemasangan 1 m2  plint ubin teralux kerang 10x30,m2,28/2016,active,,,,,,,,
A.1.9.28,Pemasangan 1 m2  plint ubin teralux marmer 10x60,m2,28/2016,active,,,,,,,,
A.1.9.29,Pemasangan 1 m2  plint ubin teralux marmer 10x40,m2,28/2016,active,,,,,,,,
A.1.9.30,Pemasangan 1 m2  plint ubin teralux marmer 10x30,m2,28/2016,active,,,,,,,,
A.1.9.31,Pemasangan 1 m2  lantai teraso cor di tempat tebal 3 cm,m2,28/2016,active,,,,,,,,
A.1.9.32,Pemasangan 1 m2  lantai keramik artistik 10x20,m2,28/2016,active,,,,,,,,
A.1.9.33,Pemasangan 1 m2  lantai keramik artistik 10x20 atau 5x20,m2,28/2016,active,,,,,,,,
