kode,name,satuan,version,status,section,resource_name,resource_satuan,koefisien
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,B,Pasir beton,m3,0.005
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,B,Koral beton,m3,0.009
A.1.1.3,(K3) Pembuatan 1 m2   pagar sementara dari kawat duri,m2,28/2016,active,B,Paku biasa 2â â 5â,Kg,0.06
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,A,Pekerja,OH,0.1
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,A,Tukang kayu,OH,0.1
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,A,Kepala tukang,OH,0.01
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,A,Mandor,OH,0.005
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,B,Kayu balok 5/7,m3,0.012
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,B,Paku 2â-3â,Kg,0.02
A.1.1.4,Pengukuran dan pemasangan 1 m2 Bouwplank,m2,28/2016,active,B,Kayu papan 3/20,m3,0.007
A.1.1.5,(K3) Pembuatan 1 m2  kantor sementara lantai plesteran,m2,28/2016,active,,,,
A.1.1.6,(K3) Pembuatan 1 m2  rumah jaga,m2,28/2016,active,,,,
A.1.1.7,(K3) Pembuatan 1 m2  gudang semen dan peralatan,m2,28/2016,active,,,,
A.1.1.8,(K3) Pembuatan 1 m2  bedeng pekerja,m2,28/2016,active,,,,
A.1.1.9,(K3) Pembersihan dan perataan lapangan 1 m2,m2,28/2016,active,,,,
A.1.1.10,(K3) Pembuatan 1 m2  perancah dari bambu,m2,28/2016,active,,,,
A.1.1.11,Pembuatan 1 buah kotak adukan ukuran 40 cm x 50 cm x 25 cm,m2,28/2016,active,,,,
A.1.1.12,Pembuatan 1 m2  jalan sementara,m2,28/2016,active,,,,
A.1.1.13,Pemasangan 1 m2  kawat jaring galvanis,m2,28/2016,active,,,,
A.1.1.14,Pemasangan 1 m2  pagar beton pracetak 50x50x240 untuk pagar,m2,28/2016,active,,,,
A.1.1.15,Pembuatan  Papan Nama Proyek 80x120 cm (bahan seng),m2,28/2016,active,,,,
A.1.1.16,Pembuatan  Papan Nama Proyek 80x120 cm (bahan flexi),m2,28/2016,active,,,,
A.1.2.1,Pembongkaran 1 m3   beton bertulang,m2,28/2016,active,A,Pekerja,OH,13.334
A.1.2.1,Pembongkaran 1 m3   beton bertulang,m2,28/2016,active,A,Mandor,OH,0.666
A.1.2.1,Pembongkaran 1 m3   beton bertulang,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.2.2,Pembongkaran 1 m2  dinding tembok,m2,28/2016,active,A,Pekerja,OH,6.667
A.1.2.2,Pembongkaran 1 m2  dinding tembok,m2,28/2016,active,A,Mandor,OH,0.333
A.1.2.2,Pembongkaran 1 m2  dinding tembok,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.2.3,Pembongkaran pasangan batu kali 1 m3,m2,28/2016,active,A,Pekerja,oh,0.4
A.1.2.3,Pembongkaran pasangan batu kali 1 m3,m2,28/2016,active,A,Tukang batu,oh,4
A.1.2.4,Pembongkaran lantai tegel untuk dipergunakan lagi 1 m2,m2,28/2016,active,A,Pekerja,oh,0.2
A.1.2.4,Pembongkaran lantai tegel untuk dipergunakan lagi 1 m2,m2,28/2016,active,A,Mandor,oh,0.01
A.1.2.5,Mengupas plesteran lama 1 m2,m2,28/2016,active,A,Pekerja,oh,0.125
A.1.2.5,Mengupas plesteran lama 1 m2,m2,28/2016,active,A,Mandor,oh,0.0125
A.1.2.6,Pembongkaran genteng / sirap untuk dipergunakan lagi 1 m2,m2,28/2016,active,A,Pekerja,oh,0.2
A.1.2.6,Pembongkaran genteng / sirap untuk dipergunakan lagi 1 m2,m2,28/2016,active,A,Mandor,oh,0.01
A.1.2.7,Pembongkaran atap seng 1 m2,m2,28/2016,active,A,Pekerja,oh,0.1
A.1.2.7,Pembongkaran atap seng 1 m2,m2,28/2016,active,A,Tukang besi,oh,0.05
A.1.2.8,Pembongkaran usuk / reng dipakai lagi 1 m2,m2,28/2016,active,A,Pekerja,oh,0.2
A.1.2.8,Pembongkaran usuk / reng dipakai lagi 1 m2,m2,28/2016,active,A,Tukang kayu,oh,0.06
A.1.2.8,Pembongkaran usuk / reng dipakai lagi 1 m2,m2,28/2016,active,A,Kepala Tukang Kayu,oh,0.006
A.1.2.8,Pembongkaran usuk / reng dipakai lagi 1 m2,m2,28/2016,active,A,Mandor,oh,0.01
A.1.2.9,Pembongkaran usuk / reng tidak dipakai lagi 1 m2,m2,28/2016,active,A,Pekerja,oh,0.2
A.1.2.9,Pembongkaran usuk / reng tidak dipakai lagi 1 m2,m2,28/2016,active,A,Mandor,oh,0.01
A.1.2.10,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan untuk digunakan lagi 1 m3",m2,28/2016,active,A,Pekerja,oh,4
A.1.2.10,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan untuk digunakan lagi 1 m3",m2,28/2016,active,A,Tukang kayu,oh,6
A.1.2.10,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan untuk digunakan lagi 1 m3",m2,28/2016,active,A,Kepala Tukang Kayu,oh,0.6
A.1.2.10,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan untuk digunakan lagi 1 m3",m2,28/2016,active,A,Mandor,oh,0.2
A.1.2.11,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan tidak digunakan lagi 1 m3",m2,28/2016,active,A,Pekerja,oh,1
A.1.2.11,"Pembongkaran kayu balok loteng, kuda-kuda, dlurung, jembatan tidak digunakan lagi 1 m3",m2,28/2016,active,A,Mandor,oh,0.2
A.1.2.12,"Pembongkaran Plafon dgn rangka, tidak digunakan lagi 1 m2",m2,28/2016,active,A,Pekerja,oh,0.15
A.1.2.12,"Pembongkaran Plafon dgn rangka, tidak digunakan lagi 1 m2",m2,28/2016,active,A,Mandor,oh,0.0075
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,A,Pekerja,oh,4
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,A,Tukang cat,oh,12
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,A,Kepala Tukang Kayu,oh,1.2
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,A,Mandor,oh,0.2
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,B,Kapur sirih,kg,0.15
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,B,Ampelas,lbr,0.1
A.1.2.13,Mengerjakan kembali bangunan kayu yang telah dibongkar 1 m3,m2,28/2016,active,B,Alang-alang,ikat,0.25
A.1.3.1,Penggalian  tanah biasa sedalam 1 m,m2,28/2016,active,A,Pekerja,OH,0.75
A.1.3.1,Penggalian  tanah biasa sedalam 1 m,m2,28/2016,active,A,Mandor,OH,0.025
A.1.3.1,Penggalian  tanah biasa sedalam 1 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.2,Penggalian  tanah biasa sedalam 2 m,m2,28/2016,active,A,Pekerja,OH,0.9
A.1.3.2,Penggalian  tanah biasa sedalam 2 m,m2,28/2016,active,A,Mandor,OH,0.045
A.1.3.2,Penggalian  tanah biasa sedalam 2 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15%),,15
A.1.3.3,Penggalian  tanah biasa sedalam 3 m,m2,28/2016,active,A,Pekerja,OH,1.05
A.1.3.3,Penggalian  tanah biasa sedalam 3 m,m2,28/2016,active,A,Mandor,OH,0.067
A.1.3.3,Penggalian  tanah biasa sedalam 3 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.4,Penggalian  tanah keras sedalam 1 m,m2,28/2016,active,A,Pekerja,OH,1
A.1.3.4,Penggalian  tanah keras sedalam 1 m,m2,28/2016,active,A,Mandor,OH,0.032
A.1.3.4,Penggalian  tanah keras sedalam 1 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.5,Penggalian  tanah cadas sedalam 1 m,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.3.5,Penggalian  tanah cadas sedalam 1 m,m2,28/2016,active,A,Mandor,OH,0.06
A.1.3.5,Penggalian  tanah cadas sedalam 1 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.6,Penggalian  tanah lumpur sedalam 1 m,m2,28/2016,active,A,Pekerja,OH,1.2
A.1.3.6,Penggalian  tanah lumpur sedalam 1 m,m2,28/2016,active,A,Mandor,OH,0.045
A.1.3.6,Penggalian  tanah lumpur sedalam 1 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.7,Pengerjaan stripping setinggi 1 m,m2,28/2016,active,A,Pekerja,OH,0.05
A.1.3.7,Pengerjaan stripping setinggi 1 m,m2,28/2016,active,A,Mandor,OH,0.005
A.1.3.7,Pengerjaan stripping setinggi 1 m,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.8,(K3) Pembuangan tanah,m2,28/2016,active,A,Pekerja,OH,0.33
A.1.3.8,(K3) Pembuangan tanah,m2,28/2016,active,A,Mandor,OH,0.01
A.1.3.8,(K3) Pembuangan tanah,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.9,Pengurugan kembali 1 m3  galian tanah,m2,28/2016,active,A,Pekerja,OH,0.5
A.1.3.9,Pengurugan kembali 1 m3  galian tanah,m2,28/2016,active,A,Mandor,OH,0.05
A.1.3.9,Pengurugan kembali 1 m3  galian tanah,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.10,(K3) Pemadatan tanah per 20 cm,m2,28/2016,active,A,Pekerja,OH,0.5
A.1.3.10,(K3) Pemadatan tanah per 20 cm,m2,28/2016,active,A,Mandor,OH,0.05
A.1.3.10,(K3) Pemadatan tanah per 20 cm,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.11,Pengurugan dengan pasir urug,m2,28/2016,active,A,Pekerja,OH,0.3
A.1.3.11,Pengurugan dengan pasir urug,m2,28/2016,active,A,Mandor,OH,0.01
A.1.3.11,Pengurugan dengan pasir urug,m2,28/2016,active,B,Pasir urug,,1.2
A.1.3.11,Pengurugan dengan pasir urug,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,A,Pekerja,OH,0.8
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,A,Tukang,OH,0.4
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,A,Kepala Tukang,OH,0.04
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,A,Mandor,OH,0.08
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,B,Kapur Padam,m3,0.135
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,B,Pasir Pasang,m3,0.4
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,B,Tanah Liat,m3,0.948
A.1.3.12,Pemasangan lapisan pudel 1:3:7,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.13,Pemasangan lapisan ijuk,m2,28/2016,active,A,Pekerja,OH,0.15
A.1.3.13,Pemasangan lapisan ijuk,m2,28/2016,active,A,Mandor,OH,0.015
A.1.3.13,Pemasangan lapisan ijuk,m2,28/2016,active,B,Ijuk,m3,6
A.1.3.13,Pemasangan lapisan ijuk,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.14,Pengurugan dengan sirtu padat,m2,28/2016,active,A,Pekerja,OH,0.25
A.1.3.14,Pengurugan dengan sirtu padat,m2,28/2016,active,A,Mandor,OH,0.025
A.1.3.14,Pengurugan dengan sirtu padat,m2,28/2016,active,B,Sirtu,m3,1.2
A.1.3.14,Pengurugan dengan sirtu padat,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,A,Pekerja,oh,0.25
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,A,Mandor,oh,0.01
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,B,Kapur sirih,kg,0.15
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,B,Ampelas,lbr,0.1
A.1.3.15,Meratakan tanah ditumbuk halus m2,m2,28/2016,active,B,Alang-alang,ikat,0.25
A.1.3.16,Pengurukan  tanah m3,m2,28/2016,active,,,,
A.1.3.17,Pembuatan  sumur Gali m1,m2,28/2016,active,,,,
A.1.3.18,Gebalan rumput m2,m2,28/2016,active,,,,
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,B,Semen Portland,Kg,202
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,B,Pasir pasang,m3,0.485
A.1.4.1,Pemasangan pondasi batu belah 1PC:3PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,B,Semen Portland,Kg,163
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,B,Pasir pasang,m3,0.52
A.1.4.2,Pemasangan pondasi batu belah 1PC:4PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,B,Semen Portland,Kg,136
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,B,Pasir pasang,m3,0.544
A.1.4.3,Pemasangan pondasi batu belah 1PC:5PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,B,Semen Portland,Kg,117
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,B,Pasir pasang,m3,0.561
A.1.4.4,Pemasangan pondasi batu belah 1PC:6PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,B,Semen Portland,Kg,91
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,B,Pasir pasang,m3,0.584
A.1.4.5,Pemasangan pondasi batu belah 1PC:8PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,B,Kapur,m3,0.17
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,B,Semen Portland,Kg,0.17
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,B,Pasir pasang,m3,0.34
A.1.4.6,Pemasangan pondasi batu belah 1KP:1SM:2 PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,B,Semen Portland,Kg,61
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,B,Kapur,m3,0.147
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,B,Pasir pasang,m3,0.492
A.1.4.7,Pemasangan pondasi batu belah 1PC:3KP:10 PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,A,Pekerja,OH,1.5
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,A,Tukang batu,OH,0.75
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,A,Kepala tukang,OH,0.075
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,A,Mandor,OH,0.075
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,B,Semen Portland,Kg,41
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,B,Kapur,m3,0.131
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,B,Pasir pasang,m3,0.523
A.1.4.8,Pemasangan pondasi batu belah 1/4PC:1KP:4 PP,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,A,Pekerja,OH,0.78
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,A,Tukang batu,OH,0.39
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,A,Kepala tukang,OH,0.039
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,A,Mandor,OH,0.039
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,B,Batu belah,m3,1.2
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,B,Pasir urug,m3,0.432
A.1.4.9,(K3) Pemasangan batu kosong (aanstamping),m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,A,Pekerja,OH,3.4
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,A,Tukang batu,OH,0.85
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,A,Kepala tukang,OH,0.085
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,A,Mandor,OH,0.17
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Batu belah,m3,0.48
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Semen Portland,Kg,194
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Pasir beton,m3,0.312
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Kerikil,m3,0.468
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Besi beton,Kg,126
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,B,Kawat beton,Kg,1.8
A.1.4.10,Pemasangan pondasi siklop 60% beton,m2,28/2016,active,C,Overhead & Profit (Contoh 15 %),,15
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,A,Pekerja,OH,2.4
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,A,Tukang batu,OH,0.8
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,A,Kepala tukang,OH,0.08
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,A,Mandor,OH,0.119
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,B,Batu belah,m3,0.45
A.1.4.11,Pemasangan pondasi sumuran Ã 100cm,m2,28/2016,active,B,Semen Portland,Kg,194
